epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,134.378,3.53853,0.19301,0.51498,3.03745,7.38748e-05,7.38748e-05,7.38748e-05
2,258.976,2.75089,0.39434,0.7995,2.10568,0.000142019,0.000142019,0.000142019
3,387.171,2.18864,0.47837,0.84193,1.73725,0.000204302,0.000204302,0.000204302
4,504.998,1.89321,0.51997,0.88519,1.55652,0.000195626,0.000195626,0.000195626
5,630.556,1.68704,0.57987,0.89767,1.40891,0.000186835,0.000186835,0.000186835
6,768.087,1.54434,0.59235,0.90599,1.34159,0.000178044,0.000178044,0.000178044
7,924.263,1.39039,0.59983,0.92097,1.29836,0.000169253,0.000169253,0.000169253
8,1098.37,1.30187,0.61814,0.92679,1.25311,0.000160462,0.000160462,0.000160462
9,1246.25,1.21607,0.62978,0.92512,1.24,0.00015167,0.00015167,0.00015167
10,1383.74,1.11748,0.62646,0.92097,1.22358,0.000142879,0.000142879,0.000142879
11,1514.66,1.04176,0.63644,0.91847,1.26357,0.000134088,0.000134088,0.000134088
12,1648.59,0.9745,0.63561,0.92013,1.22364,0.000125297,0.000125297,0.000125297
13,1778.32,0.93663,0.63727,0.91847,1.24652,0.000116506,0.000116506,0.000116506
14,1903.5,0.86426,0.6406,0.92013,1.2426,0.000107714,0.000107714,0.000107714
15,2021.58,0.84227,0.64642,0.92346,1.22678,9.89232e-05,9.89232e-05,9.89232e-05
16,2200.06,0.79061,0.64642,0.92429,1.28228,9.0132e-05,9.0132e-05,9.0132e-05
17,2318.42,0.76374,0.65557,0.9218,1.23012,8.13408e-05,8.13408e-05,8.13408e-05
18,2441.11,0.72901,0.65058,0.92679,1.26704,7.25496e-05,7.25496e-05,7.25496e-05
19,2558.36,0.715,0.65474,0.9218,1.26773,6.37584e-05,6.37584e-05,6.37584e-05
20,2675.8,0.66417,0.65641,0.92596,1.27932,5.49672e-05,5.49672e-05,5.49672e-05
21,2796.87,0.64408,0.65391,0.92429,1.27032,4.6176e-05,4.6176e-05,4.6176e-05
22,2912.43,0.63467,0.65724,0.9218,1.29917,3.73848e-05,3.73848e-05,3.73848e-05
23,3034.9,0.6219,0.64642,0.92512,1.2807,2.85936e-05,2.85936e-05,2.85936e-05
24,3152.66,0.60607,0.65807,0.92429,1.32449,1.98024e-05,1.98024e-05,1.98024e-05
25,3276.59,0.60042,0.65391,0.92845,1.3073,1.10112e-05,1.10112e-05,1.10112e-05
